"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:00:00.000","Starting XI","France",NA,"Regular Play"
"00:00:00.000","Starting XI","Australia",NA,"Regular Play"
"00:00:00.000","Half Start","Australia",NA,"Regular Play"
"00:00:00.000","Half Start","France",NA,"Regular Play"
"00:00:00.929","Pass","Australia","Andrew Nabbout","From Kick Off"
"00:00:02.289","Ball Receipt*","Australia","Trent Sainsbury","From Kick Off"
"00:00:02.289","Carry","Australia","Trent Sainsbury","From Kick Off"
"00:00:04.609","Pass","Australia","Trent Sainsbury","From Kick Off"
"00:00:15.796","Pass","France","Benjamin Pavard","From Throw In"
"00:00:16.609","Pressure","Australia","Aaron Mooy","From Throw In"
"00:00:16.729","Ball Receipt*","France","Corentin Tolisso","From Throw In"
"00:00:16.729","Pass","France","Corentin Tolisso","From Throw In"
"00:00:17.529","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:00:17.529","Carry","France","Benjamin Pavard","From Throw In"
"00:00:17.849","Pass","France","Benjamin Pavard","From Throw In"
"00:00:20.649","Ball Receipt*","France","Kylian Mbappé Lottin","From Throw In"
"00:00:20.649","Pass","Australia","Aziz Eraltay Behich","From Throw In"
"00:00:22.529","Ball Recovery","France","Corentin Tolisso","From Throw In"
"00:00:22.529","Carry","France","Corentin Tolisso","From Throw In"
"00:00:22.649","Pressure","Australia","Andrew Nabbout","From Throw In"
"00:00:22.956","Pass","France","Corentin Tolisso","From Throw In"
"00:00:24.569","Pressure","Australia","Tom Rogić","From Throw In"
"00:00:25.049","Ball Receipt*","France","Raphaël Varane","From Throw In"
"00:00:25.049","Carry","France","Raphaël Varane","From Throw In"
"00:00:25.089","Pass","France","Raphaël Varane","From Throw In"
"00:00:26.289","Ball Receipt*","France","Antoine Griezmann","From Throw In"
"00:00:26.289","Ball Recovery","Australia","Aaron Mooy","From Throw In"
"00:00:26.289","Carry","Australia","Aaron Mooy","From Throw In"
"00:00:27.049","Pass","Australia","Aaron Mooy","From Throw In"
"00:00:28.769","Ball Receipt*","Australia","Robbie Kruse","From Throw In"
"00:00:28.769","Duel","Australia","Robbie Kruse","From Throw In"
"00:00:28.769","Pass","France","Raphaël Varane","From Throw In"
"00:00:29.929","Ball Receipt*","France","Corentin Tolisso","From Throw In"
"00:00:29.929","Carry","France","Corentin Tolisso","From Throw In"
"00:00:30.809","Pass","France","Corentin Tolisso","From Throw In"
"00:00:31.848","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:00:31.848","Carry","France","Benjamin Pavard","From Throw In"
"00:00:33.289","Pass","France","Benjamin Pavard","From Throw In"
"00:00:34.649","Ball Receipt*","France","Hugo Lloris","From Throw In"
"00:00:34.649","Carry","France","Hugo Lloris","From Throw In"
"00:00:34.889","Pass","France","Hugo Lloris","From Throw In"
"00:00:37.316","Ball Receipt*","France","Paul Pogba","From Throw In"
"00:00:37.316","Duel","France","Paul Pogba","From Throw In"
"00:00:37.316","Pass","Australia","Mile Jedinak","From Throw In"
"00:00:41.529","Ball Recovery","France","Hugo Lloris","From Throw In"
"00:00:41.529","Carry","France","Hugo Lloris","From Throw In"
"00:00:48.529","Pass","France","Hugo Lloris","From Throw In"
"00:00:50.409","Ball Receipt*","France","Raphaël Varane","From Throw In"
"00:00:50.409","Carry","France","Raphaël Varane","From Throw In"
"00:00:52.329","Pass","France","Raphaël Varane","From Throw In"
"00:00:53.889","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:00:53.889","Carry","France","Benjamin Pavard","From Throw In"
"00:00:55.129","Pass","France","Benjamin Pavard","From Throw In"
"00:00:58.089","Ball Receipt*","France","Hugo Lloris","From Throw In"
"00:00:58.089","Carry","France","Hugo Lloris","From Throw In"
"00:00:59.529","Pass","France","Hugo Lloris","From Throw In"
"00:01:01.529","Ball Receipt*","France","Samuel Yves Umtiti","From Throw In"
"00:01:01.529","Carry","France","Samuel Yves Umtiti","From Throw In"
"00:01:06.448","Pass","France","Samuel Yves Umtiti","From Throw In"
"00:01:07.328","Ball Receipt*","France","Paul Pogba","From Throw In"
"00:01:07.328","Carry","France","Paul Pogba","From Throw In"
"00:01:07.409","Pass","France","Paul Pogba","From Throw In"
"00:01:08.369","Ball Receipt*","France","Samuel Yves Umtiti","From Throw In"
"00:01:08.369","Carry","France","Samuel Yves Umtiti","From Throw In"
"00:01:10.088","Pass","France","Samuel Yves Umtiti","From Throw In"
"00:01:12.289","Ball Receipt*","France","Raphaël Varane","From Throw In"
"00:01:12.289","Carry","France","Raphaël Varane","From Throw In"
"00:01:12.929","Pass","France","Raphaël Varane","From Throw In"
"00:01:14.649","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:01:14.649","Carry","France","Benjamin Pavard","From Throw In"
"00:01:15.929","Pass","France","Benjamin Pavard","From Throw In"
"00:01:16.609","Ball Receipt*","France","Antoine Griezmann","From Throw In"
"00:01:16.609","Carry","France","Antoine Griezmann","From Throw In"
"00:01:16.649","Pressure","Australia","Aziz Eraltay Behich","From Throw In"
"00:01:17.249","Pass","France","Antoine Griezmann","From Throw In"
"00:01:18.448","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:01:18.448","Carry","France","Benjamin Pavard","From Throw In"
"00:01:18.809","Pass","France","Benjamin Pavard","From Throw In"
"00:01:19.568","Ball Receipt*","France","Corentin Tolisso","From Throw In"
"00:01:19.568","Carry","France","Corentin Tolisso","From Throw In"
"00:01:23.609","Pass","France","Corentin Tolisso","From Throw In"
"00:01:24.248","Ball Receipt*","France","N''Golo Kanté","From Throw In"
"00:01:24.248","Carry","France","N''Golo Kanté","From Throw In"
"00:01:26.329","Pass","France","N''Golo Kanté","From Throw In"
"00:01:27.329","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:01:27.329","Carry","France","Benjamin Pavard","From Throw In"
"00:01:28.249","Pass","France","Benjamin Pavard","From Throw In"
"00:01:30.769","Ball Receipt*","France","Kylian Mbappé Lottin","From Throw In"
"00:01:30.769","Carry","France","Kylian Mbappé Lottin","From Throw In"
"00:01:30.849","Pressure","Australia","Aziz Eraltay Behich","From Throw In"
"00:01:31.769","Shot","France","Kylian Mbappé Lottin","From Throw In"
"00:01:32.289","Goal Keeper","Australia","Mathew Ryan","From Throw In"
"00:02:01.796","Pass","France","Antoine Griezmann","From Corner"
"00:02:03.009","Ball Receipt*","France","Kylian Mbappé Lottin","From Corner"
"00:02:03.009","Clearance","Australia","Mathew Leckie","From Corner"
"00:02:05.649","Clearance","Australia","Mile Jedinak","From Corner"
"00:02:15.076","Pass","France","Lucas Hernández Pi","From Throw In"
"00:02:15.796","Ball Receipt*","France","Paul Pogba","From Throw In"
"00:02:15.796","Pass","France","Paul Pogba","From Throw In"
"00:02:15.969","Pressure","Australia","Josh Risdon","From Throw In"
"00:02:16.529","Ball Receipt*","France","Lucas Hernández Pi","From Throw In"
"00:02:16.529","Carry","France","Lucas Hernández Pi","From Throw In"
"00:02:18.116","Pass","France","Lucas Hernández Pi","From Throw In"
"00:02:19.009","Ball Receipt*","France","Ousmane Dembélé","From Throw In"
"00:02:19.009","Carry","France","Ousmane Dembélé","From Throw In"
"00:02:19.729","Pass","France","Ousmane Dembélé","From Throw In"
"00:02:21.315","Ball Receipt*","France","Raphaël Varane","From Throw In"
"00:02:21.436","Pass","France","Raphaël Varane","From Throw In"
"00:02:22.929","Ball Receipt*","France","Corentin Tolisso","From Throw In"
"00:02:22.929","Carry","France","Corentin Tolisso","From Throw In"
"00:02:23.076","Pass","France","Corentin Tolisso","From Throw In"
"00:02:24.049","Ball Receipt*","France","Samuel Yves Umtiti","From Throw In"
"00:02:24.049","Carry","France","Samuel Yves Umtiti","From Throw In"
"00:02:26.449","Pass","France","Samuel Yves Umtiti","From Throw In"
"00:02:27.968","Ball Receipt*","France","Kylian Mbappé Lottin","From Throw In"
"00:02:27.968","Carry","France","Kylian Mbappé Lottin","From Throw In"
"00:02:27.996","Pass","France","Kylian Mbappé Lottin","From Throw In"
"00:02:28.769","Ball Receipt*","France","Ousmane Dembélé","From Throw In"
"00:02:28.769","Ball Recovery","Australia","Mile Jedinak","From Throw In"
"00:02:28.769","Carry","Australia","Mile Jedinak","From Throw In"
"00:02:29.369","Pressure","France","Ousmane Dembélé","From Throw In"
"00:02:29.729","Pass","Australia","Mile Jedinak","From Throw In"
"00:02:30.049","Pressure","France","Lucas Hernández Pi","From Throw In"
"00:02:30.569","Ball Receipt*","Australia","Josh Risdon","From Throw In"
"00:02:30.569","Pass","Australia","Josh Risdon","From Throw In"
"00:02:33.649","Ball Recovery","France","Raphaël Varane","From Throw In"
"00:02:33.649","Carry","France","Raphaël Varane","From Throw In"
"00:02:35.049","Pass","France","Raphaël Varane","From Throw In"
"00:02:36.889","Ball Receipt*","France","Benjamin Pavard","From Throw In"
"00:02:36.889","Carry","France","Benjamin Pavard","From Throw In"
