"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:00:00.000","Starting XI","Iran",NA,"Regular Play"
"00:00:00.000","Starting XI","Spain",NA,"Regular Play"
"00:00:00.000","Half Start","Spain",NA,"Regular Play"
"00:00:00.000","Half Start","Iran",NA,"Regular Play"
"00:00:03.773","Pass","Spain","Diego da Silva Costa","From Kick Off"
"00:00:04.772","Ball Receipt*","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:04.772","Carry","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:05.133","Pass","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:05.973","Ball Receipt*","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:05.973","Carry","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:06.840","Pass","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:07.493","Ball Receipt*","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:07.493","Carry","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:07.653","Pressure","Iran","Vahid Amiri","From Kick Off"
"00:00:09.253","Pass","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:10.933","Ball Receipt*","Spain","Sergio Ramos García","From Kick Off"
"00:00:10.933","Carry","Spain","Sergio Ramos García","From Kick Off"
"00:00:12.453","Pass","Spain","Sergio Ramos García","From Kick Off"
"00:00:13.160","Pressure","Iran","Omid Ebrahimi","From Kick Off"
"00:00:13.253","Ball Receipt*","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:13.253","Carry","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:14.733","Pass","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:15.933","Ball Receipt*","Spain","Jordi Alba Ramos","From Kick Off"
"00:00:15.933","Carry","Spain","Jordi Alba Ramos","From Kick Off"
"00:00:17.120","Pass","Spain","Jordi Alba Ramos","From Kick Off"
"00:00:18.573","Ball Receipt*","Spain","Sergio Ramos García","From Kick Off"
"00:00:18.573","Carry","Spain","Sergio Ramos García","From Kick Off"
"00:00:19.893","Pass","Spain","Sergio Ramos García","From Kick Off"
"00:00:21.413","Ball Receipt*","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:21.413","Carry","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:23.213","Pass","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:24.492","Ball Receipt*","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:24.492","Carry","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:26.253","Pass","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:27.333","Ball Receipt*","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:27.333","Carry","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:28.813","Pass","Spain","Gerard Piqué Bernabéu","From Kick Off"
"00:00:30.253","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","From Kick Off"
"00:00:30.253","Carry","Spain","Francisco Román Alarcón Suárez","From Kick Off"
"00:00:34.013","Pass","Spain","Francisco Román Alarcón Suárez","From Kick Off"
"00:00:34.853","Ball Receipt*","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:34.853","Carry","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:37.960","Pass","Spain","Andrés Iniesta Luján","From Kick Off"
"00:00:39.613","Ball Receipt*","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:39.613","Carry","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:39.840","Pressure","Iran","Vahid Amiri","From Kick Off"
"00:00:40.893","Pass","Spain","Sergio Busquets i Burgos","From Kick Off"
"00:00:42.133","Ball Receipt*","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:42.133","Carry","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:43.760","Pass","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:44.453","Ball Receipt*","Spain","Lucas Vázquez Iglesias","From Kick Off"
"00:00:44.453","Carry","Spain","Lucas Vázquez Iglesias","From Kick Off"
"00:00:44.760","Pressure","Iran","Karim Ansarifard","From Kick Off"
"00:00:44.853","Pass","Spain","Lucas Vázquez Iglesias","From Kick Off"
"00:00:45.653","Ball Receipt*","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:45.653","Carry","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:46.013","Pass","Spain","Daniel Carvajal Ramos","From Kick Off"
"00:00:46.773","Ball Receipt*","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:46.773","Carry","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:47.080","Pressure","Iran","Vahid Amiri","From Kick Off"
"00:00:48.053","Pass","Spain","David Josué Jiménez Silva","From Kick Off"
"00:00:49.000","Ball Receipt*","Spain","Diego da Silva Costa","From Kick Off"
"00:00:49.000","Clearance","Iran","Saeid Ezatolahi Afagh","From Kick Off"
"00:00:50.813","Pass","Iran","Vahid Amiri","Regular Play"
"00:00:50.973","Pressure","Spain","Sergio Busquets i Burgos","Regular Play"
"00:00:51.813","Ball Receipt*","Iran","Sardar Azmoun","Regular Play"
"00:00:51.813","Carry","Iran","Sardar Azmoun","Regular Play"
"00:00:52.533","Miscontrol","Iran","Sardar Azmoun","Regular Play"
"00:00:53.693","Ball Recovery","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:00:54.693","Ball Recovery","Iran","Omid Ebrahimi","Regular Play"
"00:00:54.693","Carry","Iran","Omid Ebrahimi","Regular Play"
"00:00:54.973","Pressure","Spain","Sergio Busquets i Burgos","Regular Play"
"00:00:55.280","Pass","Iran","Omid Ebrahimi","Regular Play"
"00:00:55.893","Ball Receipt*","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:00:55.893","Carry","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:00:56.493","Pressure","Spain","Sergio Busquets i Burgos","Regular Play"
"00:00:58.613","Foul Committed","Spain","Sergio Busquets i Burgos","Regular Play"
"00:00:58.613","Foul Won","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:01:14.080","Camera On","Iran",NA,"Regular Play"
"00:01:14.573","Pass","Iran","Morteza Pouraliganji","Regular Play"
"00:01:15.853","Ball Receipt*","Iran","Ramin Rezaeian","Regular Play"
"00:01:15.853","Carry","Iran","Ramin Rezaeian","Regular Play"
"00:01:16.973","Pass","Iran","Ramin Rezaeian","Regular Play"
"00:01:17.093","Pressure","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:01:18.373","Ball Receipt*","Iran","Mehdi Taremi","Regular Play"
"00:01:18.373","Carry","Iran","Mehdi Taremi","Regular Play"
"00:01:18.933","Foul Committed","Spain","Jordi Alba Ramos","Regular Play"
"00:01:18.933","Foul Won","Iran","Mehdi Taremi","Regular Play"
"00:01:34.120","Pass","Iran","Ramin Rezaeian","From Free Kick"
"00:01:35.693","Ball Receipt*","Iran","Morteza Pouraliganji","From Free Kick"
"00:01:35.693","Carry","Iran","Morteza Pouraliganji","From Free Kick"
"00:01:36.960","Pass","Iran","Morteza Pouraliganji","From Free Kick"
"00:01:39.360","Ball Receipt*","Iran","Seyed Majid Hosseini","From Free Kick"
"00:01:39.360","Carry","Iran","Seyed Majid Hosseini","From Free Kick"
"00:01:40.600","Pass","Iran","Seyed Majid Hosseini","From Free Kick"
"00:01:40.773","Pressure","Spain","Diego da Silva Costa","From Free Kick"
"00:01:42.200","Ball Receipt*","Iran","Morteza Pouraliganji","From Free Kick"
"00:01:42.200","Pass","Iran","Morteza Pouraliganji","From Free Kick"
"00:01:44.453","Ball Receipt*","Iran","Alireza Safar Beiranvand","From Free Kick"
"00:01:44.453","Pass","Iran","Alireza Safar Beiranvand","From Free Kick"
"00:01:48.720","Foul Committed","Iran","Mehdi Taremi","From Free Kick"
"00:01:48.720","Foul Won","Spain","Sergio Ramos García","From Free Kick"
"00:02:09.120","Camera On","Spain",NA,"Regular Play"
"00:02:09.960","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:11.253","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:11.253","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:11.693","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:12.373","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:02:12.373","Pass","Spain","Sergio Ramos García","Regular Play"
"00:02:13.573","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:13.573","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:16.200","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:16.973","Ball Receipt*","Spain","Diego da Silva Costa","Regular Play"
"00:02:16.973","Carry","Spain","Diego da Silva Costa","Regular Play"
"00:02:17.133","Pass","Spain","Diego da Silva Costa","Regular Play"
"00:02:17.893","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:17.893","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:19.600","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:20.933","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:20.933","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:22.333","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:23.560","Pressure","Iran","Karim Ansarifard","Regular Play"
"00:02:24.132","Ball Receipt*","Spain","Daniel Carvajal Ramos","Regular Play"
"00:02:24.132","Carry","Spain","Daniel Carvajal Ramos","Regular Play"
"00:02:24.760","Pressure","Iran","Vahid Amiri","Regular Play"
"00:02:25.000","Pass","Spain","Daniel Carvajal Ramos","Regular Play"
"00:02:25.960","Pressure","Iran","Sardar Azmoun","Regular Play"
"00:02:26.013","Ball Receipt*","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:26.013","Carry","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:26.973","Pass","Spain","Sergio Busquets i Burgos","Regular Play"
"00:02:28.053","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:02:28.053","Carry","Spain","Sergio Ramos García","Regular Play"
"00:02:29.653","Pass","Spain","Sergio Ramos García","Regular Play"
